@relation groupran
@attribute class {'X1','X2','X3','X4','X5'}
@attribute Prevalence_of_Most_Common_Pitch numeric
@attribute Prevalence_of_Most_Common_Pitch_Class numeric
@attribute Relative_Prevalence_of_Top_Pitches numeric
@attribute Relative_Prevalence_of_Top_Pitch_Classes numeric
@attribute Interval_Between_Most_Prevalent_Pitches numeric
@attribute Interval_Between_Most_Prevalent_Pitch_Classes numeric
@attribute Number_of_Common_Pitches numeric
@attribute Pitch_Variety numeric
@attribute Pitch_Class_Variety numeric
@attribute Range numeric
@attribute Most_Common_Pitch numeric
@attribute Mean_Pitch numeric
@attribute Importance_of_Middle_Register numeric
@attribute Importance_of_High_Register numeric
@attribute Most_Common_Pitch_Class numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Mean_Melodic_Interval numeric
@attribute Number_of_Common_Melodic_Intervals numeric
@attribute Distance_Between_Most_Prevalent_Melodic_Intervals numeric
@attribute Prevalence_of_Most_Common_Melodic_Interval numeric
@attribute Relative_Prevalence_of_Most_Common_Melodic_Intervals numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Melodic_Thirds numeric
@attribute Melodic_Perfect_Fourths numeric
@attribute Melodic_Tritones numeric
@attribute Melodic_Perfect_Fifths numeric
@attribute Melodic_Sixths numeric
@attribute Melodic_Sevenths numeric
@attribute Melodic_Octaves numeric
@attribute Melodic_Large_Intervals numeric
@attribute Minor_Major_Melodic_Third_Ratio numeric
@attribute Melodic_Embellishments numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Average_Length_of_Melodic_Arcs numeric
@attribute Average_Interval_Spanned_by_Melodic_Arcs numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Second_Strongest_Rhythmic_Pulse numeric
@attribute Harmonicity_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Strength_of_Strongest_Rhythmic_Pulse numeric
@attribute Strength_of_Second_Strongest_Rhythmic_Pulse numeric
@attribute Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Combined_Strength_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Number_of_Strong_Rhythmic_Pulses numeric
@attribute Number_of_Moderate_Rhythmic_Pulses numeric
@attribute Number_of_Relatively_Strong_Rhythmic_Pulses numeric
@attribute Rhythmic_Looseness numeric
@attribute Polyrhythms numeric
@attribute Rhythmic_Variability numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Average_Note_Duration numeric
@attribute Variability_of_Note_Durations numeric
@attribute Maximum_Note_Duration numeric
@attribute Minimum_Note_Duration numeric
@attribute Amount_of_Staccato numeric
@attribute Average_Time_Between_Attacks numeric
@attribute Variability_of_Time_Between_Attacks numeric
@attribute Complete_Rests numeric
@attribute Longest_Complete_Rest numeric
@attribute Duration numeric
@data
'X1',0.4286,0.4286,0.6667,0.6667,7,5,4,4,4,7,74,71,0.5714,0.4286,2,3,2,4,4,4,3,0.3333,1,0.8333,0.1667,0,0.1667,0.3333,0,0,0.3333,0,0,0,0,0,0,0.6,1.25,4.25,2.333,60,80,1.333,0.2308,0.2308,1,0.4615,5,5,5,0,0.4,0.03543,2.333,0,0.3214,0.189,0.75,0.25,0,0.3328,0.2041,0.3077,2.75,3.25
'X1',0.7143,0.7143,0.2,0.2,5,5,3,3,3,7,69,68,1,0,9,3,1,0,1.5,3,2,0.5,0.6667,0.5,0.5,0,0.3333,0,0.1667,0,0,0,0,0,0,0,0.1429,0.3333,3,2,1.25,48,60,1.25,0.3077,0.3077,1,0.6154,4,5,4,0,0.25,0.03844,1.75,0,0.4643,0.2673,0.75,0.25,0,0.4162,0.2582,0.2353,3.75,4.25
'X1',0.3333,0.3333,1,1,2,2,4,4,4,7,67,66,1,0,7,3,3,5,2.6,4,5,0.4,0.5,0.2,0.2,0.2,0.4,0,0.4,0,0,0,0,0,0,0,0,0.25,2,6,1.5,120,60,2,0.3,0.2,1.5,0.5,2,7,7,0,0.4286,0.03296,2,0,0.3333,0.1882,0.5,0.125,0,0.3495,0.2054,0.3333,2.5,3
'X1',0.5,0.5,0.5,0.5,4,4,3,3,3,9,74,77,0,1,2,2,1,0,4.667,3,5,0.3333,1,0.3333,0.3333,0,0,0,0.3333,0,0,0.3333,0,0,0,0,0,0.5,2,9,1,120,80,1.5,0.6667,0.3333,2,1,2,2,2,0,0.5,0.0586,2,0,0.25,0,0.25,0.25,0,0.2495,0,0.5,1.5,2
'X1',0.5,0.5,0.5,0.5,2,2,3,3,3,6,60,62,1,0,0,1,3,2,4,3,2,0.3333,1,0.3333,0,0,0.3333,0.3333,0,0.3333,0,0,0,0,0,0,0,0.3333,3,6,3,60,48,1.25,0.5,0.25,2,0.75,3,3,3,0,0.3333,0.04801,2,0,0.375,0.25,0.75,0.25,0,0.4162,0.2887,0.4,2,2.5
'X1',0.2857,0.2857,1,1,3,3,5,5,5,9,66,65,1,0,6,3,3,0,3.333,6,2,0.1667,1,0.5,0.1667,0,0.1667,0.3333,0.1667,0.1667,0,0,0,0,0,1,0,0.4,1.667,4.667,3,40,80,2,0.2308,0.2308,1,0.4615,5,5,5,0,0.6,0.03543,1.75,0,0.5,0.2041,0.75,0.25,0,0.4578,0.1882,0.2222,4,4.5
'X1',0.4444,0.4444,0.25,0.5,5,7,6,6,5,12,74,74,0.2222,0.7778,2,5,1,3,4.75,5,2,0.25,1,0.625,0.125,0,0,0.25,0.25,0,0.25,0.125,0,0,0,0,0,0.4286,1.4,7,1.667,120,60,2,0.35,0.25,1.4,0.6,4,5,4,0,0.75,0.03823,1.8,1.591,0.5,0.125,0.75,0.25,0,0.4683,0.08839,0.1818,5,5.5
'X1',0.6667,0.6667,0.5,0.5,4,4,2,2,2,4,71,69,1,0,11,1,2,0,2,2,4,0.5,1,1,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,40,60,1.5,0.3333,0.3333,1,0.6667,3,3,3,0,0.6667,0.04522,1.5,0,0.625,0.3307,1,0.375,0,0.7495,0.3536,0.3478,2.375,2.875
'X1',0.5,0.5,0.5,0.5,1,1,3,3,3,3,67,68,1,0,7,1,3,1,1.667,2,2,0.6667,0.5,0.3333,0,0.6667,0.6667,0.3333,0,0,0,0,0,0,0,0,0,0.3333,1.5,2,2,120,160,1.333,0.5,0.5,1,1,2,2,2,0,0.5,0.05555,4,0,0.2188,0.1197,0.375,0.125,0,0.1662,0.07217,0.5333,1.375,1.875
'X1',0.3333,0.3333,1,1,2,2,3,3,3,4,65,67,1,0,5,1,3,2,3,2,2,0.5,1,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,2,2,0,80,120,1.5,0.5,0.5,1,1,2,2,2,0,0.5,0.05555,1.5,0,0.3333,0.1443,0.5,0.25,0,0.3745,0.1768,0.5,1.5,2
'X1',1,1,0,1,60,0,1,1,1,0,60,60,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,120,1.5,0.5,0.5,1,1,2,2,2,0,0.5,0.05555,1.5,0,0.4167,0.1443,0.5,0.25,0,0.3745,0.1768,0.4444,1.75,2.25
'X1',0.3333,0.3333,1,1,7,7,3,3,3,9,60,65,1,0,0,2,1,7,8,2,2,0.5,1,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,2,9,0,60,80,1.333,0.5,0.5,1,1,2,2,2,0,0.5,0.05555,1,0,0.75,0.25,1,0.5,0,0.8745,0.1768,0.3077,2.75,3.25
'X1',0.375,0.375,0.6667,0.6667,1,7,5,5,4,12,72,72,0.75,0.25,0,3,2,7,3.429,6,7,0.2857,0.5,0.7143,0.1429,0.1429,0.2857,0.2857,0,0,0.2857,0,0,0,0,1,0,0.5,2,5.667,3,120,40,3,0.4167,0.3333,1.25,0.75,3,3,3,0,1,0.04617,1.333,1.061,0.5781,0.3949,1.5,0.125,0,0.7138,0.3934,0.2449,4.125,6.125
'X1',0.5,0.5,0.3333,0.3333,7,5,4,4,4,7,74,71,0.5,0.5,2,3,2,3,4.6,3,2,0.4,1,0.6,0,0,0,0.4,0.4,0,0.2,0,0,0,0,0,0,0.4,1.25,4,2,40,80,2,0.3333,0.3333,1,0.6667,4,4,4,0,0.75,0.0412,1.2,1.061,0.7917,0.4852,1.5,0.25,0,0.8495,0.5184,0.1739,5.25,5.75
'X1',0.4,0.4,0.5,0.5,7,7,4,4,4,7,71,68,1,0,11,4,1,2,3.5,2,3,0.5,1,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,4,7,4,120,48,2.5,0.375,0.25,1.5,0.625,4,4,4,0,0.5,0.04146,1.667,0,0.45,0.1118,0.5,0.25,0,0.437,0.125,0.3077,2.75,3.25
'X1',0.4,0.4,1,1,4,4,3,3,3,4,67,69,1,0,7,1,3,2,3,2,2,0.5,1,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.25,2,4,2.5,120,80,1.5,0.5,0.3333,1.5,0.8333,3,3,3,0,0.6667,0.04891,2.5,0,0.25,0,0.25,0.25,0,0.2495,0,0.4444,1.75,2.25
'X1',0.2,0.2,1,1,2,2,5,5,5,11,72,77,0.2,0.8,0,2,1,2,5.25,4,2,0.25,1,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0,0,0,0.5,1.333,6.333,0,120,80,1.5,0.4286,0.2857,1.5,0.7143,4,4,4,0,0.5,0.04329,2.5,0,0.3,0.1118,0.5,0.25,0,0.312,0.125,0.4,2,2.5
'X1',0.5,0.5,0.3333,0.3333,7,7,4,4,4,9,69,67,1,0,9,3,2,2,3.2,4,2,0.4,0.5,0.4,0.2,0,0.4,0,0.2,0,0.2,0,0,0,0,0,0,0.5,4,9,2,120,60,2,0.4167,0.3333,1.25,0.75,3,3,3,0,1,0.04617,1.5,0,0.5,0,0.5,0.5,0,0.4995,0,0.25,3.5,4
'X1',0.5,0.5,0.5,0.5,4,4,3,3,3,5,62,64,1,0,2,2,2,0,2,3,1,0.3333,1,0.3333,0.3333,0.3333,0.3333,0,0.3333,0,0,0,0,0,0,0,0,0.5,2,5,1,40,60,1.5,0.25,0.25,1,0.5,4,4,4,0,0.75,0.03903,1.333,0,0.5,0.3536,1,0.25,0,0.5828,0.3819,0.3333,2.5,3
'X1',0.4,0.4,0.5,0.5,3,3,4,4,4,7,67,67,1,0,7,3,1,0,2.75,4,2,0.25,1,0.5,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.6667,3,7,1,120,80,1.5,0.4286,0.2857,1.5,0.7143,4,4,4,0,0.5,0.04329,2.5,0,0.3,0.1118,0.5,0.25,0,0.312,0.125,0.4,2,2.5
'X1',0.2857,0.2857,1,1,2,2,5,5,5,11,74,73,0.2857,0.7143,2,3,2,2,4.167,5,2,0.3333,0.5,0.3333,0.1667,0,0.3333,0,0.1667,0,0.1667,0.1667,0,0,0,0,0,0.4,1.25,4,2,120,80,1.5,0.3333,0.2667,1.25,0.6,4,5,4,0,0.5,0.03859,2.333,0,0.2857,0.09449,0.5,0.25,0,0.2495,0,0.3333,2.5,3
'X1',0.6667,0.6667,0.5,0.5,2,2,2,2,2,2,68,68,1,0,8,1,2,0,1,2,2,0.5,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,120,0,120,1,0,0,1,1,1,1,0,1,0.07881,3,0,0.25,0,0.25,0.25,0,0.2495,0,0.5714,1.25,1.75
'X1',0.6667,0.6667,0.25,0.25,9,9,3,3,3,9,71,68,1,0,11,2,1,0,4.4,3,9,0.4,1,0.6,0.4,0,0,0.2,0,0,0,0.4,0,0,0,0,0,0.6667,1.5,6.5,1.333,48,69,1.438,0.1667,0.1667,1,0.3333,5,7,7,0,0.2857,0.03027,3,0,0.3125,0.1723,0.5,0.125,0,0.3495,0.163,0.3478,2.375,2.875
'X1',0.4,0.4,1,1,3,3,3,3,3,5,76,76,0,1,4,2,2,0,1.75,3,2,0.5,0.5,0.5,0.5,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0.5,2,5,1,80,120,1.5,0.375,0.25,1.5,0.625,5,5,5,0,0.4,0.03903,2.5,0,0.35,0.1369,0.5,0.25,0,0.3745,0.1443,0.3636,2.25,2.75
'X1',0.75,0.75,0.3333,0.3333,2,2,2,2,2,2,71,70,1,0,11,1,2,0,0.6667,2,2,0.6667,0.5,0.6667,0.6667,0,0.3333,0,0,0,0,0,0,0,0,0,0.25,1,0,0,1,120,40,3,0.6667,0.3333,2,1,2,2,2,0,1,0.0586,0.8,0.7071,1,0.5774,1.5,0.5,0,0.8328,0.5774,0.2,4.5,5
'X1',0.5,0.5,0.5,1,9,9,3,3,2,12,71,69,0.75,0.25,2,1,2,0,7,3,9,0.3333,1,0.6667,0.3333,0,0,0,0,0,0,0.3333,0,0.3333,0,0,0,0.5,2,12,1,120,48,2.5,0.4,0.2,2,0.6,4,4,4,0,0.5,0.04137,1.333,0,0.6875,0.5543,1.5,0.25,0,0.4162,0.1443,0.2667,3.25,3.75
'X1',0.3333,0.3333,1,1,7,2,3,3,3,9,67,72,0.3333,0.6667,2,2,1,2,4.5,2,5,0.5,1,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,80,120,1.5,0.5,0.5,1,1,2,2,2,0,0.5,0.05555,1.5,0,0.3333,0.1443,0.5,0.25,0,0.3745,0.1768,0.5,1.5,2
'X1',0.6667,0.6667,0.5,0.5,4,4,2,2,2,4,71,69,1,0,11,1,2,4,4,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,2,4,2,80,120,1.5,0.5,0.5,1,1,2,2,2,0,0.5,0.05555,1.5,0,0.3333,0.1443,0.5,0.25,0,0.3745,0.1768,0.5,1.5,2
'X1',0.3333,0.3333,1,1,2,5,3,3,3,7,67,70,0.6667,0.3333,2,3,0,2,3.5,2,3,0.5,1,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,80,120,1.5,0.5,0.5,1,1,2,2,2,0,0.5,0.05555,1.5,0,0.4167,0.1443,0.5,0.25,0,0.3745,0.1768,0.4444,1.75,2.25
'X1',0.2,0.2,1,1,2,2,5,5,5,9,62,66,1,0,2,5,0,2,5.75,4,3,0.25,1,0.25,0,0,0.25,0,0.25,0,0.25,0.25,0,0,0,0,0,0.5,1.333,4.667,0,48,120,2.5,0.2857,0.2857,1,0.5714,5,5,5,0,0.2,0.03694,2.5,0,0.375,0.25,0.75,0.125,0,0.437,0.2394,0.3478,2.375,2.875
'X1',0.6,0.6,0.3333,0.3333,1,11,3,3,3,5,71,72,0.8,0.2,11,2,2,0,2.5,4,1,0.25,1,0.5,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.6667,3,5,2,80,44,1.818,0.25,0.125,2,0.375,7,7,7,0,0.2857,0.03062,2.5,0,0.325,0.1118,0.5,0.25,0,0.3433,0.1197,0.381,2.125,2.625
'X1',0.3333,0.3333,0.5,0.5,4,9,5,5,5,9,71,71,0.6667,0.3333,11,5,1,2,4.2,5,1,0.2,1,0.6,0,0,0.2,0.4,0.2,0,0.2,0,0,0,0,1,0,0.8,2.5,8,3,96,69,1.391,0.3,0.2,1.5,0.5,4,5,5,0,0.2,0.03655,3,0,0.2292,0.05103,0.25,0.125,0,0.2245,0.0559,0.4211,1.875,2.375
'X1',0.2857,0.2857,1,1,3,3,5,5,5,7,64,65,1,0,4,4,3,3,3.833,3,2,0.5,0.6667,0.6667,0,0,0,0.6667,0.3333,0,0,0,0,0,0,3,0,0.3333,1.5,5,5,48,80,1.667,0.2308,0.2308,1,0.4615,5,5,5,0,0.2,0.03543,1.75,0,0.4286,0.374,1.25,0.25,0,0.4578,0.4005,0.25,3.5,4
'X1',0.6667,0.6667,0.5,0.5,2,2,2,2,2,2,69,69,1,0,9,1,2,0,1,2,2,0.5,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,80,1.667,0.3333,0.3333,1,0.6667,3,3,3,0,0.3333,0.04522,1,0,0.75,0.25,1,0.5,0,0.6245,0.1768,0.3077,2.75,3.25
'X1',0.5,0.5,0.5,0.5,2,2,3,3,3,4,76,76,0,1,4,1,3,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6667,3,2,2,40,48,1.2,0.25,0.25,1,0.5,4,4,4,0,0.5,0.03903,2,0,0.4375,0.375,1,0.25,0,0.4995,0.433,0.3636,2.25,2.75
'X1',0.5,0.5,0.3333,0.3333,2,2,4,4,4,5,64,64,1,0,4,2,2,2,2.4,2,1,0.6,0.6667,0.4,0,0,0.6,0.4,0,0,0,0,0,0,0,0,0,0.4,1.667,2.333,2,48,60,1.25,0.3333,0.3333,1,0.6667,4,4,4,0,0.25,0.0412,1.2,1.061,0.6667,0.4655,1.25,0.25,0,0.7495,0.4677,0.2,4.5,5
'X1',0.3333,0.3333,1,1,3,1,3,3,3,4,69,71,0.6667,0.3333,0,1,3,1,2,2,2,0.5,1,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,80,120,1.5,0.5,0.5,1,1,2,2,2,0,0.5,0.05555,1.5,0,0.3333,0.1443,0.5,0.25,0,0.3745,0.1768,0.5,1.5,2
'X1',0.25,0.25,1,1,1,2,4,4,4,5,71,73,0.5,0.5,0,2,2,2,3,2,3,0.6667,0.5,0,0,0,0.6667,0,0.3333,0,0,0,0,0,0,0,0,0.3333,3,5,0,48,60,1.25,0.25,0.25,1,0.5,4,4,4,0,0.25,0.03903,2,0,0.375,0.25,0.75,0.25,0,0.4162,0.2887,0.4,2,2.5
'X1',0.3333,0.3333,0.5,0.5,4,11,5,5,5,7,71,70,0.8333,0.1667,11,4,1,5,4,4,4,0.4,0.5,0.2,0,0.2,0.4,0,0.4,0,0.2,0,0,0,0,0,0,0.6,1.25,4.5,5,120,80,1.5,0.3636,0.2727,1.333,0.6364,3,5,3,0,0.6667,0.03953,2,0,0.3333,0.1291,0.5,0.25,0,0.2995,0.1118,0.3333,2.5,3
'X1',0.6,0.6,0.6667,0.6667,3,9,2,2,2,3,74,72,0.4,0.6,2,1,2,3,2.25,2,3,0.75,0.3333,1,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0,0.3333,1.5,3,1.667,80,120,1.5,0.2857,0.2857,1,0.5714,5,5,5,0,0.4,0.03694,2.5,0,0.35,0.2236,0.75,0.25,0,0.3745,0.25,0.3636,2.25,2.75
'X1',0.5,0.5,0.5,0.5,7,2,3,3,3,9,74,72,0.25,0.75,2,2,2,2,3.667,2,5,0.6667,0.5,0.3333,0,0,0.6667,0,0,0,0.3333,0,0,0,0,0,0,0.3333,3,2,2,80,60,1.333,0.5,0.25,2,0.75,3,3,3,0,0.3333,0.04801,2,0,0.3125,0.125,0.5,0.25,0,0.3328,0.1443,0.4444,1.75,2.25
'X1',0.5,0.5,1,1,1,11,2,2,2,1,71,71,1,0,0,1,2,0,0.3333,2,1,0.6667,0.5,0.6667,0.6667,0.3333,0.3333,0,0,0,0,0,0,0,0,0,0,1,0,0,1,120,80,1.5,0.6667,0.3333,2,1,2,2,2,0,0.5,0.0586,2,0,0.25,0,0.25,0.25,0,0.2495,0,0.5,1.5,2
'X1',0.25,0.25,1,1,2,5,4,4,4,7,67,70,0.75,0.25,2,3,1,4,5.333,3,1,0.3333,1,0.6667,0,0,0,0.3333,0.3333,0,0.3333,0,0,0,0,0,0,0.3333,1.5,5.5,0,120,60,2,0.5,0.25,2,0.75,3,3,3,0,0.6667,0.04801,2,0,0.375,0.1443,0.5,0.25,0,0.3328,0.1443,0.4,2,2.5
'X1',0.5,0.5,0.3333,0.3333,8,5,4,4,4,8,79,76,0.1667,0.8333,7,2,1,3,3.8,4,3,0.4,0.5,0.6,0.2,0,0,0.4,0.2,0,0,0.2,0,0,0,0,0,0.75,2,5.5,2,60,120,2,0.2727,0.2727,1,0.5455,4,5,5,0,0.4,0.03682,3,0,0.2917,0.1021,0.5,0.25,0,0.2995,0.1118,0.3636,2.25,2.75
'X1',0.6667,0.6667,0.5,0.5,9,3,2,2,2,9,67,70,0.6667,0.3333,7,1,2,0,4.5,2,9,0.5,1,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,80,120,1.5,0.5,0.5,1,1,2,2,2,0,0.5,0.05555,1.5,0,0.3333,0.1443,0.5,0.25,0,0.3745,0.1768,0.6,2,2.5
'X1',1,1,0,0,71,11,1,1,1,0,71,71,1,0,11,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,120,1.5,0.5,0.5,1,1,2,2,2,0,0.5,0.05555,1.5,0,0.4167,0.1443,0.5,0.25,0,0.3745,0.1768,0.4444,1.75,2.25
'X1',0.5,0.5,1,1,2,2,2,2,2,2,67,68,1,0,7,1,2,2,1.333,2,2,0.6667,0.5,0.3333,0.3333,0,0.6667,0,0,0,0,0,0,0,0,0,0,0.5,2,2,2,80,120,1.5,0.4,0.4,1,0.8,3,3,3,0,0.3333,0.04702,2,0,0.4375,0.125,0.5,0.25,0,0.4162,0.1443,0.3636,2.25,2.75
'X1',0.4,0.4,1,1,7,7,3,3,3,9,74,78,0,1,2,2,1,7,7.5,2,2,0.75,0.3333,0.75,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0.5,1.333,7.667,2,60,80,1.333,0.2857,0.2857,1,0.5714,4,4,4,0,0.5,0.04024,2.5,0,0.3,0.1118,0.5,0.25,0,0.312,0.125,0.4,2,2.5
'X1',0.3333,0.3333,1,1,1,2,3,3,3,3,71,72,0.6667,0.3333,0,1,3,2,2.5,2,1,0.5,1,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,2,2,0,120,0,120,1,0,0,1,1,1,1,0,1,0.07881,3,0,0.25,0,0.25,0.25,0,0.2495,0,0.5714,1.25,1.75
'X1',0.3333,0.3333,1,1,2,9,3,3,3,3,69,70,1,0,0,1,3,1,2,2,2,0.5,1,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,2,1,0,80,120,1.5,0.5,0.5,1,1,2,2,2,0,0.5,0.05555,1.5,0,0.5833,0.3819,1,0.25,0,0.3745,0.1768,0.3636,2.25,2.75
'X1',0.2,0.4,1,0.5,4,7,5,5,4,12,67,72,0.6,0.4,7,3,2,1,5.75,4,2,0.25,1,0.75,0,0.25,0.25,0.25,0,0,0.25,0,0,0.25,0,0,0,0.5,2,5.5,0,60,120,2,0.375,0.375,1,0.75,3,3,3,0,0.6667,0.04593,1,0.8839,0.9,0.6519,2,0.5,0,0.6245,0.25,0.1818,5,5.5
'X1',0.625,0.625,0.4,0.4,3,3,3,3,3,7,78,78,0,1,6,2,2,3,2.429,3,3,0.4286,0.6667,1,0.2857,0,0,0.7143,0,0,0,0,0,0,0,1.5,0,0.6,1.667,4.667,1.6,120,40,3,0.3636,0.1818,2,0.5455,4,5,4,0,0.75,0.0382,2,0,0.4688,0.3391,1.25,0.25,0,0.4995,0.3536,0.2105,4.25,4.75
'X1',0.4,0.4,0.5,0.5,4,11,4,4,4,7,71,71,0.8,0.2,11,3,1,0,1.75,4,1,0.25,1,0.5,0.25,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,1,0,0,1,48,40,1.2,0.3333,0.1667,2,0.5,5,5,5,0,0.2,0.03674,1.667,0,0.55,0.4472,1.25,0.25,0,0.6245,0.4787,0.2667,3.25,3.75
'X1',0.3333,0.3333,1,1,5,7,4,4,4,7,69,70,0.6667,0.3333,2,4,0,2,2.8,3,3,0.4,1,0.2,0.2,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0.5,2,4.5,3,60,48,1.25,0.3,0.2,1.5,0.5,4,5,5,0,0.4,0.03655,2,0,0.4167,0.2041,0.75,0.25,0,0.4495,0.2092,0.2857,3,3.5
'X1',0.25,0.25,1,1,2,2,4,4,4,6,65,68,1,0,5,1,4,2,3.333,2,4,0.6667,0.5,0,0,0,0.6667,0,0,0.3333,0,0,0,0,0,0,0,0.3333,1.5,4,0,120,80,1.5,0.6667,0.3333,2,1,2,2,2,0,0.5,0.0586,2,0,0.25,0,0.25,0.25,0,0.2495,0,0.5,1.5,2
'X1',0.4,0.4,1,1,7,5,3,3,3,7,67,70,0.6,0.4,2,2,1,0,3.5,4,3,0.25,1,1,0.25,0,0,0.5,0,0,0.25,0,0,0,0,1,0,0.6667,3,7,2.5,120,40,3,0.3333,0.1667,2,0.5,5,5,5,0,0.6,0.03674,1.25,0,0.65,0.4873,1.5,0.25,0,0.687,0.5543,0.2353,3.75,4.25
'X1',0.6667,0.6667,0.5,0.5,2,2,2,2,2,2,67,67,1,0,7,1,2,0,1,2,2,0.5,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,60,2,0.6667,0.3333,2,1,2,2,2,0,1,0.0586,1,0,0.6667,0.2887,1,0.5,0,0.4995,0,0.3333,2.5,3
'X1',0.4286,0.4286,0.3333,0.3333,5,2,5,5,5,10,74,73,0.2857,0.7143,2,5,1,5,4.167,5,5,0.3333,0.5,0.5,0.1667,0,0.1667,0.1667,0.3333,0,0,0,0.1667,0,0,0,0,0.6,1.25,5.5,2,48,60,1.25,0.2143,0.2143,1,0.4286,5,5,5,0,0.2,0.03517,2.333,0,0.2857,0.09449,0.5,0.25,0,0.3745,0.2092,0.4286,2,3.5
'X1',0.3333,0.3333,1,1,5,4,3,3,3,9,67,71,0.6667,0.3333,0,2,1,4,6.5,2,5,0.5,1,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,2,4,0,96,120,1.25,0.5,0.5,1,1,2,2,2,0,0.5,0.05555,3,0,0.25,0.2165,0.5,0.125,0,0.312,0.2652,0.5714,1.25,1.75
'X1',0.3333,0.5,0.5,0.3333,12,2,5,5,4,12,74,70,0.6667,0.3333,2,3,2,7,5.2,4,6,0.4,0.5,0.4,0,0.2,0.4,0,0,0,0.4,0.2,0,0,0,0,0,0.2,2.5,7,2,120,80,1.5,0.4,0.3,1.333,0.7,3,4,3,0,0.6667,0.04285,3,0,0.25,0,0.25,0.25,0,0.2495,0,0.4,2,2.5
'X1',0.4,0.4,1,1,2,2,3,3,3,4,74,75,0,1,2,1,3,2,3,2,2,0.5,1,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1.333,3.333,3,120,69,1.739,0.3333,0.1667,2,0.5,5,5,5,0,0.2,0.03674,2.5,0,0.225,0.0559,0.25,0.125,0,0.2183,0.0625,0.4706,1.625,2.125
'X1',0.375,0.375,0.6667,0.6667,7,5,5,5,5,9,69,71,0.625,0.375,9,5,1,7,5.714,5,5,0.4286,0.3333,0.5714,0,0,0.1429,0.1429,0.1429,0,0.4286,0.1429,0,0,0,0,0.125,0.5714,1.4,6.6,2.667,54,160,2.963,0.1579,0.1579,1,0.3158,7,10,10,0,0.2,0.0259,2,0,0.4219,0.3057,1,0.125,0,0.3388,0.213,0.2286,3.875,4.375
'X1',0.25,0.25,1,1,2,5,4,4,4,7,67,70,0.75,0.25,2,3,1,3,4,3,1,0.3333,1,0.6667,0,0,0,0.6667,0.3333,0,0,0,0,0,0,1,0,0.3333,3,5,0,120,60,2,0.5,0.3333,1.5,0.8333,3,3,3,0,1,0.04891,1.333,0,0.5,0,0.5,0.5,0,0.4995,0,0.3333,2.5,3
